Page	Chunk	Length	IndentationRatio	Comments	Non-Dic	Non-DicRatio	Keywords	KeywordRatio	Separators	SeparatorRatio	Operators	OperatorRatio	NumberWords	StopWords	StopWordRatio	StopWordRatioLength	ScoreSTD	StopWordSTD	Score	Classification	GoldOutcome
PRE0005	36	65	0	0	1	0.125	2	0.25	12	0.184615385	2	0.030769231	8	0	0	0	0.053461538	-0.985422716	0.964328695	code	1
PRE0005	37	239	7.333333333	0	1	0.026315789	2	0.052631579	2	0.008368201	3	0.012552301	38	16	0.421052632	0.066945607	0.007914923	0.787031244	-0.684445412	text	0
PRE0005	38	548	1.619047619	1	11	0.154929577	17	0.23943662	65	0.118613139	16	0.02919708	71	3	0.042253521	0.005474453	0.039563782	-0.840480941	0.461233978	code	1
PRE0005	39	225	3.333333333	0	1	0.027777778	2	0.055555556	0	0	3	0.013333333	36	17	0.472222222	0.075555556	0.005518519	1.014988517	-0.771194561	text	0
PRE0005	40	349	1.5	0	6	0.146341463	11	0.268292683	45	0.128939828	7	0.020057307	41	0	0	0	0.038252149	-0.985422716	0.413753259	code	1
PRE0005	41	324	7.466666667	0	2	0.037735849	1	0.018867925	4	0.012345679	1	0.00308642	53	26	0.490566038	0.080246914	0.005936214	1.139197058	-0.756074108	text	0
PRE0005	42	204	0	0	2	0.095238095	2	0.095238095	29	0.142156863	7	0.034313725	21	0	0	0	0.043995098	-0.985422716	0.621646329	code	1
PRE0005	43	332	9.333333333	0	1	0.01754386	3	0.052631579	2	0.006024096	1	0.003012048	57	32	0.561403509	0.096385542	0.004191767	1.566483889	-0.819222574	text	0
PRE0005	44	95	1.5	0	5	0.357142857	6	0.428571429	2	0.021052632	0	0	14	0	0	0	0.014736842	-0.985422716	-0.437493952	code	1
PRE0005	45	58	1.142857143	0	1	0.142857143	0	0	0	0	3	0.051724138	7	0	0	0	0.019519704	-0.985422716	-0.264355739	text	0
PRE0005	46	427	2.166666667	1	16	0.301886792	11	0.20754717	34	0.079625293	5	0.011709602	53	6	0.113207547	0.014051522	0.028825137	-0.613394177	0.072498176	code	1
PRE0005	47	183	12.36363636	0	5	0.2	0	0	0	0	0	0	25	11	0.44	0.06010929	0.008159463	0.606032701	-0.675593128	text	0
PRE0005	48	54	0	0	4	0.666666667	0	0	3	0.055555556	0	0	6	0	0	0	0.025462963	-0.985422716	-0.049211524	code	1
PRE0005	49	301	24.88888889	0	6	0.127659574	1	0.021276596	0	0	0	0	47	25	0.531914894	0.083056478	0.007622739	1.213583184	-0.695022396	text	0
PRE0005	50	71	3	0	5	0.625	0	0	3	0.042253521	0	0	8	0	0	0	0.023943662	-0.985422716	-0.104209774	code	1
PRE0005	51	1370	13.01694915	0	7	0.034653465	7	0.034653465	3	0.002189781	11	0.008029197	202	91	0.45049505	0.066423358	0.004270692	0.773204163	-0.816365531	text	0
PRE0005	52	349	1.5	0	6	0.146341463	11	0.268292683	45	0.128939828	7	0.020057307	41	0	0	0	0.038252149	-0.985422716	0.413753259	code	1
PRE0005	53	1330	10.61904762	0	2	0.009615385	5	0.024038462	6	0.004511278	4	0.003007519	208	106	0.509615385	0.079699248	0.002579663	1.12469705	-0.877580253	text	0
PRE0005	54	79	0.333333333	0	4	0.571428571	1	0.142857143	3	0.037974684	1	0.012658228	7	0	0	0	0.021413502	-0.985422716	-0.195800819	code	1
PRE0005	55	348	7.384615385	0	0	0	2	0.04	0	0	5	0.014367816	50	19	0.38	0.054597701	0.005371353	0.460107714	-0.776521918	text	0
PRE0005	56	30	0	0	2	1	0	0	7	0.233333333	0	0	2	0	0	0	0.064166667	-0.985422716	1.351851196	code	1
PRE0005	57	192	5	0	0	0	0	0	0	0	1	0.005208333	26	12	0.461538462	0.0625	0.002864583	0.669329223	-0.867266236	text	0
PRE0005	58	51	0	0	5	0.833333333	1	0.166666667	7	0.137254902	1	0.019607843	6	0	0	0	0.053921569	-0.985422716	0.980981652	code	1
PRE0005	59	111	7	0	0	0	0	0	1	0.009009009	0	0	13	7	0.538461538	0.063063063	0.00518018	0.684236898	-0.78344231	text	0
PRE0005	60	36	0	0	0	0	3	0.75	9	0.25	1	0.027777778	4	0	0	0	0.064583333	-0.985422716	1.366934407	code	1
PRE0005	61	269	10.4	0	0	0	0	0	2	0.007434944	0	0	44	26	0.590909091	0.096654275	0.003605948	1.573598871	-0.840429055	text	0
PRE0005	62	41	0	0	0	0	3	0.75	13	0.317073171	1	0.024390244	4	0	0	0	0.078658537	-0.985422716	1.876452635	code	1
PRE0005	63	352	9.066666667	0	0	0	3	0.05	0	0	1	0.002840909	60	32	0.533333333	0.090909091	0.002140152	1.421489196	-0.893490456	text	0
PRE0005	64	13	0	0	1	0.5	1	0.5	5	0.384615385	0	0	2	0	0	0	0.1	-0.985422716	2.649007349	code	1
PRE0005	65	135	6.25	0	0	0	2	0.086956522	2	0.014814815	1	0.007407407	23	13	0.565217391	0.096296296	0.00787037	1.564121013	-0.686058214	text	0
PRE0005	66	15	0	0	1	0.5	1	0.5	7	0.466666667	0	0	2	0	0	0	0.116666667	-0.985422716	3.252335793	code	1
PRE0005	67	183	4.571428571	0	0	0	0	0	0	0	1	0.005464481	29	14	0.482758621	0.076502732	0.002888368	1.040065997	-0.866405222	text	0
PRE0005	68	29	0	0	1	0.25	3	0.75	9	0.310344828	1	0.034482759	4	0	0	0	0.086206897	-0.985422716	2.149701051	code	1
PRE0005	69	360	6	0	0	0	2	0.034482759	0	0	0	0	58	35	0.603448276	0.097222222	0.000833	1.588635857	-0.94079689	text	0
PRE0005	70	21	0	0	1	0.333333333	2	0.666666667	5	0.238095238	1	0.047619048	3	0	0	0	0.076190476	-0.985422716	1.787109573	code	1
PRE0005	71	506	7.272727273	0	2	0.026315789	1	0.013157895	2	0.003952569	3	0.005928854	76	37	0.486842105	0.07312253	0.004078333	0.950571648	-0.823328864	text	0
PRE0005	72	626	3.727272727	0	7	0.179487179	12	0.307692308	59	0.094249201	10	0.015974441	39	0	0	0	0.028252977	-0.985422716	0.051786168	code	1
PRE0005	73	145	3	0	0	0	0	0	0	0	1	0.006896552	19	8	0.421052632	0.055172414	0.003103448	0.475323824	-0.858619395	text	0
PRE0005	74	28	0	0	1	0.25	3	0.75	9	0.321428571	1	0.035714286	4	0	0	0	0.089285714	-0.985422716	2.26115335	code	1
PRE0005	75	2801	20.75806452	0	15	0.035885167	32	0.076555024	19	0.006783292	4	0.001428061	418	204	0.488038278	0.072831132	0.003262372	0.942856588	-0.852866413	text	0
PRE0005	76	391	1.166666667	0	7	0.159090909	6	0.136363636	43	0.109974425	7	0.017902813	44	0	0	0	0.033397272	-0.985422716	0.238008134	code	1
PRE0005	77	616	9.481481481	0	2	0.02173913	2	0.02173913	0	0	5	0.008116883	92	42	0.456521739	0.068181818	0.003772848	0.819761218	-0.834387339	text	0
PRE0005	78	374	0.923076923	5	13	0.302325581	13	0.302325581	33	0.088235294	7	0.018716578	43	3	0.069767442	0.00802139	0.035016454	-0.773048136	0.296622054	code	1
PRE0005	79	2804	9.662650602	0	35	0.078475336	22	0.049327354	8	0.002853067	7	0.002496434	446	216	0.484304933	0.07703281	0.003747551	1.054100359	-0.835303072	text	0
PRE0010	1	7111	10.89547038	0	133	0.215088283	22	0.035313002	127	0.017859654	126	0.017719027	623	185	0.296950241	0.026016032	0.012708448	-0.2747632	-0.300323068	text	0
PRE0010	2	147	6.4	2	4	0.19047619	6	0.285714286	11	0.074829932	0	0	21	2	0.095238095	0.013605442	0.027176871	-0.833895337	1.115746611	code	1
PRE0010	3	6664	4.337142857	1	48	0.050515464	68	0.070103093	99	0.014855942	61	0.009153661	970	378	0.389690722	0.056722689	0.007445507	1.108658537	-0.815423543	text	0
PRE0012	1	17644	0.050909091	0	149	0.052409427	121	0.042560675	19	0.001076853	96	0.005440943	2843	1181	0.415406261	0.066934935	0.003352559	0.550599317	-0.813144687	text	0
PRE0012	2	85	0	0	8	0.571428571	0	0	0	0	2	0.023529412	14	0	0	0	0.023529412	-1.08068653	0.302578701	text	0
PRE0012	3	1126	0	0	12	0.060301508	14	0.070351759	2	0.001776199	14	0.012433393	199	92	0.462311558	0.081705151	0.005994671	0.910567448	-0.667043264	text	0
PRE0012	4	111	3.2	0	7	0.388888889	0	0	5	0.045045045	14	0.126126126	18	0	0	0	0.06045045	-1.08068653	2.344208592	text	0
PRE0012	5	376	1.230769231	0	6	0.090909091	3	0.045454545	0	0	5	0.013297872	66	31	0.46969697	0.082446809	0.006945581	0.928642545	-0.614460629	text	0
PRE0012	6	38	0	0	2	0.333333333	0	0	0	0	6	0.157894737	6	0	0	0	0.056578947	-1.08068653	2.13012533	text	0
PRE0012	7	42	8	0	2	0.285714286	0	0	0	0	1	0.023809524	7	3	0.428571429	0.071428571	0.025	0.660114697	0.383898106	text	0
PRE0012	8	29	0	0	3	1	0	0	0	0	1	0.034482759	3	0	0	0	0.028448276	-1.08068653	0.57457809	text	0
PRE0012	9	676	3.625	0	9	0.081081081	3	0.027027027	0	0	4	0.00591716	111	43	0.387387387	0.063609467	0.004373151	0.469553616	-0.756708801	text	0
PRE0012	10	35	0	0	1	0.142857143	0	0	1	0.028571429	1	0.028571429	7	0	0	0	0.02	-1.08068653	0.107412129	text	0
PRE0012	11	42	8	0	2	0.285714286	0	0	0	0	1	0.023809524	7	3	0.428571429	0.071428571	0.025	0.660114697	0.383898106	text	0
PRE0012	12	33	0	0	3	0.6	0	0	1	0.03030303	0	0	5	0	0	0	0.022727273	-1.08068653	0.258222662	text	0
PRE0012	13	1307	0.432432432	0	14	0.0625	6	0.026785714	0	0	7	0.005355777	224	99	0.441964286	0.075745983	0.003497798	0.765335276	-0.805113376	text	0
PRE0012	14	122	1.111111111	0	3	0.230769231	4	0.307692308	11	0.090163934	1	0.008196721	13	0	0	0	0.027504554	-1.08068653	0.522392903	code	1
PRE0012	15	556	0.066666667	0	3	0.032608696	3	0.032608696	0	0	1	0.001798561	92	46	0.5	0.082733813	0.001489808	0.935637193	-0.916149567	text	0
PRE0012	16	33	0	0	1	0.2	0	0	2	0.060606061	0	0	5	0	0	0	0.018939394	-1.08068653	0.048763588	code	1
PRE0012	17	1069	0.076923077	0	6	0.034682081	11	0.063583815	0	0	8	0.00748363	173	79	0.456647399	0.073900842	0.003230913	0.720366937	-0.819871344	text	0
PRE0012	18	16	0	0	1	0.5	1	0.5	0	0	0	0	2	0	0	0	0.0109375	-1.08068653	-0.393718705	code	1
PRE0012	19	4282	0.02173913	1	13	0.017955801	45	0.062154696	13	0.003035965	6	0.001401214	724	364	0.502762431	0.085007006	0.001693388	0.991037676	-0.904892179	text	0
PRE0012	20	221	2.4	2	3	0.107142857	5	0.178571429	11	0.049773756	0	0	28	5	0.178571429	0.022624434	0.01638009	-0.529301526	-0.092758714	code	1
PRE0012	21	157	0	0	1	0.041666667	1	0.041666667	0	0	1	0.006369427	24	11	0.458333333	0.070063694	0.003025478	0.626850979	-0.831231348	text	0
PRE0012	22	332	3.285714286	3	3	0.071428571	5	0.119047619	15	0.045180723	1	0.003012048	42	13	0.30952381	0.039156627	0.015404475	-0.126391882	-0.146707513	code	1
PRE0012	23	1393	0	0	5	0.020408163	9	0.036734694	6	0.004307251	2	0.00143575	245	118	0.481632653	0.084709261	0.002027997	0.983781256	-0.886389226	text	0
PRE0012	24	220	2.545454545	2	3	0.111111111	5	0.185185185	16	0.072727273	0	0	27	4	0.148148148	0.018181818	0.02160124	-0.63757349	0.195956192	code	1
PRE0012	25	3195	0.032786885	0	15	0.028089888	25	0.046816479	16	0.005007825	8	0.002503912	534	267	0.5	0.083568075	0.002700044	0.955969177	-0.84922694	text	0
PRE0012	26	264	3.230769231	2	4	0.129032258	6	0.193548387	21	0.079545455	1	0.003787879	31	4	0.129032258	0.015151515	0.024191434	-0.711425664	0.33918665	code	1
PRE0012	27	290	0	0	3	0.065217391	3	0.065217391	4	0.013793103	0	0	46	22	0.47826087	0.075862069	0.004913793	0.768164428	-0.726812802	text	0
PRE0012	28	27	0	0	1	0.25	1	0.25	5	0.185185185	1	0.037037037	4	0	0	0	0.059259259	-1.08068653	2.27833906	code	1
PRE0012	29	2603	0	0	10	0.021834061	27	0.058951965	15	0.005762582	21	0.008067614	458	227	0.495633188	0.087207069	0.004389166	1.044655882	-0.755823191	text	0
PRE0012	30	355	3.875	2	6	0.146341463	7	0.170731707	29	0.081690141	3	0.008450704	41	7	0.170731707	0.01971831	0.025827465	-0.600127318	0.429654588	code	1
PRE0012	31	432	0	0	2	0.025641026	8	0.102564103	0	0	1	0.002314815	78	39	0.5	0.090277778	0.00150463	1.119492798	-0.915329981	text	0
PRE0012	32	335	3.875	2	5	0.131578947	7	0.184210526	26	0.07761194	1	0.002985075	38	7	0.184210526	0.020895522	0.023041045	-0.571437216	0.275573376	code	1
PRE0012	33	354	0	0	3	0.050847458	3	0.050847458	0	0	0	0	59	28	0.474576271	0.079096045	0.001483051	0.846980365	-0.916523227	text	0
PRE0012	34	7	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	-1.08068653	-0.99853178	code	1
PRE0012	35	181	0.166666667	0	0	0	2	0.064516129	0	0	1	0.005524862	31	15	0.483870968	0.082872928	0.001703499	0.9390276	-0.904333058	text	0
PRE0012	36	1364	6.270833333	2	22	0.154929577	15	0.105633803	139	0.101906158	6	0.004398827	142	10	0.070422535	0.007331378	0.027667553	-0.902011917	0.53140628	code	1
PRE0012	37	527	0	0	1	0.011627907	4	0.046511628	2	0.003795066	1	0.001897533	86	35	0.406976744	0.066413662	0.001755218	0.537895256	-0.901473135	text	0
PRE0012	38	20	0	0	0	0	0	0	0	0	1	0.05	4	3	0.75	0.15	0.015	2.574996046	-0.169073848	text	0
PRE0012	39	65	0	0	0	0	2	0.181818182	0	0	0	0	11	6	0.545454545	0.092307692	0	1.168964286	-0.99853178	text	0
PRE0012	40	110	0.666666667	0	4	0.333333333	1	0.083333333	13	0.118181818	8	0.072727273	12	3	0.25	0.027272727	0.055075758	-0.416016971	2.04700315	code	1
PRE0012	41	629	0	0	0	0	5	0.046296296	0	0	1	0.001589825	108	57	0.527777778	0.090620032	0.000477	1.127833945	-0.972157919	text	0
PRE0012	42	7	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	-1.08068653	-0.99853178	code	1
PRE0012	43	384	0	0	0	0	2	0.031746032	0	0	2	0.005208333	63	29	0.46031746	0.075520833	0.0015625	0.7598481	-0.912129912	text	0
PRE0012	44	81	1	0	0	0	2	0.142857143	2	0.024691358	0	0	14	7	0.5	0.086419753	0.00617284	1.02546804	-0.657191067	text	0
PRE0012	45	319	0	0	0	0	6	0.098360656	4	0.012539185	1	0.003134796	61	34	0.557377049	0.106583072	0.003761755	1.516872667	-0.790517252	text	0
PRE0012	46	8	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	-1.08068653	-0.99853178	text	0
PRE0012	47	625	0.076923077	0	1	0.009174312	10	0.091743119	0	0	1	0.0016	109	52	0.47706422	0.0832	0.000766	0.946998739	-0.956165621	text	0
PRE0012	48	358	3.882352941	2	4	0.090909091	7	0.159090909	30	0.083798883	4	0.011173184	44	4	0.090909091	0.011173184	0.026100887	-0.808382427	0.444774085	code	1
PRE0012	49	4247	0.009708738	0	8	0.011251758	43	0.0604782	9	0.002119143	23	0.005415587	711	334	0.4697609	0.078643749	0.002431242	0.835957345	-0.864090907	text	0
PRE0012	50	253	0.842105263	0	6	0.222222222	8	0.296296296	22	0.086956522	1	0.003952569	27	0	0	0	0.02506761	-1.08068653	0.387636735	code	1
PRE0012	51	2235	0	0	9	0.024324324	23	0.062162162	3	0.001342282	0	0	370	193	0.521621622	0.086353468	0.001006711	1.023852581	-0.942863462	text	0
PRE0012	52	614	1.666666667	8	11	0.152777778	9	0.125	32	0.052117264	11	0.017915309	72	8	0.111111111	0.013029316	0.023629207	-0.763146241	0.308097119	code	1
PRE0012	53	444	0	0	4	0.057142857	3	0.042857143	0	0	0	0	70	35	0.5	0.078828829	0.001576577	0.840467977	-0.911351517	text	0
PRE0012	54	9	0	0	1	0.5	0	0	0	0	1	0.111111111	2	0	0	0	0.052777778	-1.08068653	1.919931312	text	0
PRE0012	55	292	0	0	0	0	3	0.06122449	0	0	0	0	49	23	0.469387755	0.078767123	0	0.838964138	-0.99853178	text	0
PRE0012	56	18	0	0	1	0.333333333	0	0	3	0.166666667	2	0.111111111	3	0	0	0	0.080555556	-1.08068653	3.455964518	code	1
PRE0012	57	332	0.1	0	1	0.016666667	4	0.066666667	2	0.006024096	0	0	60	33	0.55	0.09939759	0.00189759	1.341753731	-0.893600355	text	0
PRE0012	58	28	0	0	1	0.5	0	0	3	0.107142857	3	0.107142857	2	0	0	0	0.0625	-1.08068653	2.457542934	text	0
PRE0012	59	2113	0.019607843	0	8	0.024615385	12	0.036923077	12	0.005679129	3	0.001419782	325	132	0.406153846	0.062470421	0.002366768	0.441793672	-0.867656157	text	0
PRE0012	60	675	2.68	8	17	0.2125	9	0.1125	32	0.047407407	11	0.016296296	80	9	0.1125	0.013333333	0.023124444	-0.755736968	0.280185144	code	1
PRE0012	61	1908	0.151515152	0	7	0.021341463	12	0.036585366	0	0	1	0.000524109	328	178	0.542682927	0.093291405	0.000803	1.192938552	-0.954115039	text	0
PRE0012	62	20	0	0	1	0.333333333	1	0.333333333	1	0.05	0	0	3	0	0	0	0.02	-1.08068653	0.107412129	code	1
PRE0012	63	419	0.1	0	3	0.036585366	8	0.097560976	0	0	2	0.00477327	82	46	0.56097561	0.109785203	0.002696897	1.594912491	-0.849400919	text	0
PRE0012	64	166	1.090909091	2	6	0.333333333	5	0.277777778	10	0.060240964	1	0.006024096	18	2	0.111111111	0.012048193	0.025027382	-0.787057407	0.385412268	code	1
PRE0012	65	316	0	0	0	0	3	0.053571429	0	0	1	0.003164557	56	29	0.517857143	0.091772152	0.000949	1.155912514	-0.946034442	text	0
PRE0012	66	246	1.714285714	2	10	0.4	6	0.24	15	0.06097561	2	0.008130081	25	2	0.08	0.008130081	0.02565331	-0.882546553	0.420024322	code	1
PRE0012	67	462	0	0	2	0.028169014	3	0.042253521	0	0	0	0	71	33	0.464788732	0.071428571	0.000758	0.660114697	-0.956639965	text	0
PRE0012	68	526	2.19047619	6	10	0.169491525	8	0.13559322	26	0.049429658	13	0.024714829	59	6	0.101694915	0.011406844	0.024923049	-0.802687855	0.379642935	code	1
PRE0012	69	193	0	0	0	0	5	0.142857143	0	0	0	0	35	16	0.457142857	0.082901554	0	0.939725256	-0.99853178	text	0
PRE0012	70	40	2	0	0	0	1	0.25	4	0.1	0	0	4	0	0	0	0.025	-1.08068653	0.383898106	text	0
PRE0012	71	639	0	0	3	0.025	8	0.066666667	0	0	1	0.001564945	120	66	0.55	0.103286385	0.00129108	1.436528389	-0.927138687	text	0
PRE0012	72	227	1.733333333	1	4	0.142857143	6	0.214285714	22	0.0969163	6	0.026431718	28	4	0.142857143	0.017621145	0.034302496	-0.651237769	0.898300063	code	1
PRE0012	73	848	0	0	0	0	7	0.042944785	0	0	1	0.001179245	163	109	0.668711656	0.128537736	0.000354	2.051934545	-0.978969093	text	0
PRE0012	74	31	0	0	1	0.2	0	0	3	0.096774194	1	0.032258065	5	2	0.4	0.064516129	0.037096774	0.491650062	1.052815792	code	1
PRE0012	75	153	0	0	0	0	4	0.173913043	0	0	2	0.013071895	23	9	0.391304348	0.058823529	0.003921569	0.35291448	-0.781680033	text	0
PRE0012	76	234	1.733333333	1	4	0.142857143	6	0.214285714	22	0.094017094	5	0.021367521	28	4	0.142857143	0.017094017	0.031994302	-0.664084527	0.77066339	code	1
PRE0012	77	1068	0	0	0	0	13	0.074712644	1	0.00093633	1	0.00093633	174	85	0.488505747	0.079588015	0.000492	0.858970267	-0.97134917	text	0
PRE0012	78	217	1.714285714	1	4	0.148148148	6	0.222222222	22	0.101382488	5	0.023041475	27	4	0.148148148	0.01843318	0.034496379	-0.631447504	0.909021242	code	1
PRE0012	79	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.08068653	-0.99853178	text	0
PRE0012	80	226	1.857142857	1	4	0.148148148	6	0.222222222	22	0.097345133	4	0.017699115	27	4	0.148148148	0.017699115	0.031826802	-0.649337553	0.761401084	code	1
PRE0012	81	50	0	0	0	0	1	0.125	0	0	1	0.02	8	3	0.375	0.06	0.006	0.3815865	-0.666748607	text	0
PRE0012	82	10	0	0	1	0.333333333	0	0	0	0	2	0.2	3	0	0	0	0.0775	-1.08068653	3.287000866	code	1
PRE0012	83	46	0	0	0	0	1	0.125	0	0	0	0	8	3	0.375	0.065217391	0	0.508740677	-0.99853178	text	0
PRE0012	84	9	0	0	1	0.333333333	0	0	0	0	1	0.111111111	3	0	0	0	0.052777778	-1.08068653	1.919931312	code	1
PRE0012	85	437	0	0	1	0.013513514	2	0.027027027	0	0	3	0.006864989	74	44	0.594594595	0.100686499	0.002459954	1.373166	-0.86250321	text	0
PRE0012	86	11	0	0	1	0.333333333	0	0	0	0	2	0.181818182	3	0	0	0	0.070454545	-1.08068653	2.897406989	code	1
PRE0012	87	149	0.333333333	0	0	0	4	0.173913043	0	0	1	0.006711409	23	10	0.434782609	0.067114094	0.00212528	0.554965629	-0.881009776	text	0
PRE0012	88	8	0	0	1	0.5	0	0	0	0	1	0.125	2	0	0	0	0.059375	-1.08068653	2.284739199	text	0
PRE0012	89	68	0	0	0	0	1	0.083333333	0	0	1	0.014705882	12	8	0.666666667	0.117647059	0.004411765	1.78651549	-0.754573565	text	0
PRE0012	90	229	2.083333333	1	4	0.148148148	6	0.222222222	22	0.096069869	5	0.021834061	27	3	0.111111111	0.013100437	0.032769287	-0.761412943	0.813517874	code	1
PRE0012	91	137	0	0	0	0	1	0.041666667	0	0	2	0.01459854	24	15	0.625	0.109489051	0.004379562	1.587694912	-0.756354282	text	0
PRE0012	92	212	2.166666667	0	4	0.166666667	6	0.25	22	0.103773585	5	0.023584906	24	2	0.083333333	0.009433962	0.034237421	-0.850769387	0.894701601	code	1
PRE0012	93	2054	0.041666667	0	1	0.002710027	13	0.035230352	0	0	4	0.00194742	369	206	0.558265583	0.100292113	0.00067	1.363554335	-0.96145834	text	0
PRE0012	94	268	2.526315789	0	4	0.129032258	6	0.193548387	26	0.097014925	9	0.03358209	31	2	0.064516129	0.007462687	0.034986253	-0.898811775	0.936109887	code	1
