Page	Chunk	Length	IndentationRatio	Comments	Non-Dic	Non-DicRatio	Keywords	KeywordRatio	Separators	SeparatorRatio	Operators	OperatorRatio	NumberWords	StopWords	StopWordRatio	StopWordRatioLength	Score	StopWordSTD	ScoreSTD	Classification	GoldOutcome
PRE0005	26	7	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	-0.402997285	2.343174135	 text	0
PRE0005	27	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	28	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	29	23	0	0	0	0	0	0	0	0	0	0	4	1	0.25	0.043478261	0	0.676371811	-0.727898299	 text	0
PRE0005	30	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	31	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	32	18	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	33	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	34	7	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	-0.402997285	2.343174135	 text	0
PRE0005	35	6	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333	-0.402997285	2.138435973	 text	0
PRE0005	36	6	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333	-0.402997285	2.138435973	 text	0
PRE0005	37	7	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	-0.402997285	2.343174135	 text	0
PRE0005	38	6	0	0	1	1	0	0	1	0.166666667	1	0.166666667	1	0	0	0	0.116666667	-0.402997285	1.780144189	 text	0
PRE0005	39	7	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	-0.402997285	2.343174135	 text	0
PRE0005	40	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	41	9	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155555556	-0.402997285	2.616158351	 text	0
PRE0005	42	10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	-0.402997285	2.711702827	 text	0
PRE0005	43	11	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163636364	-0.402997285	2.78987558	 text	0
PRE0005	44	11	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163636364	-0.402997285	2.78987558	 text	0
PRE0005	45	12	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	-0.402997285	2.855019541	 text	0
PRE0005	46	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	47	11	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163636364	-0.402997285	2.78987558	 text	0
PRE0005	48	10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	-0.402997285	2.711702827	 text	0
PRE0005	49	10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	-0.402997285	2.711702827	 text	0
PRE0005	50	11	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163636364	-0.402997285	2.78987558	 text	0
PRE0005	51	11	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163636364	-0.402997285	2.78987558	 text	0
PRE0005	52	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	53	10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	-0.402997285	2.711702827	 text	0
PRE0005	54	9	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155555556	-0.402997285	2.616158351	 text	0
PRE0005	55	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	56	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	57	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	58	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	59	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	60	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	61	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	62	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	63	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	64	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	65	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	-0.402997285	2.496727757	 text	0
PRE0005	66	7	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	-0.402997285	2.343174135	 text	0
PRE0005	67	6	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333	-0.402997285	2.138435973	 text	0
PRE0005	68	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	-0.402997285	1.851802545	 text	0
PRE0005	69	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	-0.402997285	1.421852405	 text	0
PRE0005	70	8	10.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	71	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	72	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	73	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	-0.402997285	1.421852405	 text	0
PRE0005	74	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	75	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	76	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	77	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	-0.402997285	1.421852405	 text	0
PRE0005	78	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	79	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	80	6	5.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044444444	-0.402997285	0.227546458	 text	0
PRE0005	81	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	82	6	5.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044444444	-0.402997285	0.227546458	 text	0
PRE0005	83	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057142857	-0.402997285	0.500530674	 text	0
PRE0005	84	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	85	85	4	0	0	0	0	0	0	0	0	0	16	8	0.5	0.094117647	0.002352941	1.933519347	-0.67731593	 text	0
PRE0005	86	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	87	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	88	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	89	17	0	0	0	0	0	0	0	0	0	0	3	1	0.333333333	0.058823529	0	1.05732561	-0.727898299	 text	0
PRE0005	90	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	91	29	19.42857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033497537	-0.402997285	-0.007784763	 text	0
PRE0005	92	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	93	17	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	94	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	95	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	96	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	97	26	0	0	0	0	0	0	0	0	0	0	4	2	0.5	0.076923077	0	1.506655732	-0.727898299	 text	0
PRE0005	98	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	99	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	100	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	101	31	0	0	0	0	0	0	0	0	0	0	4	1	0.25	0.032258065	0	0.397824948	-0.727898299	 text	0
PRE0005	102	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	103	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	104	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	105	22	0	0	0	0	0	0	0	0	0	0	4	1	0.25	0.045454545	0	0.725434043	-0.727898299	 text	0
PRE0005	106	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	107	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	108	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	109	30	0	0	0	0	0	0	0	0	0	0	4	1	0.25	0.033333333	0	0.424519022	-0.727898299	 text	0
PRE0005	110	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	111	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	112	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	113	32	0	0	0	0	0	0	0	0	0	0	5	2	0.4	0.0625	0	1.148595791	-0.727898299	 text	0
PRE0005	114	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	115	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	116	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	117	42	0	0	0	0	1	0.111111111	0	0	0	0	9	5	0.555555556	0.119047619	0	2.552418098	-0.727898299	 text	0
PRE0005	118	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	119	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	120	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	121	36	0	0	0	0	0	0	0	0	0	0	6	3	0.5	0.083333333	0	1.665793483	-0.727898299	 text	0
PRE0005	122	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	123	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	124	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	125	18	0	0	0	0	0	0	0	0	0	0	3	1	0.333333333	0.055555556	0	0.97619656	-0.727898299	 text	0
PRE0005	126	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	127	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	128	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	129	28	0	0	0	0	0	0	0	0	0	0	4	1	0.25	0.035714286	0	0.48362733	-0.727898299	 text	0
PRE0005	130	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	131	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	132	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	133	13	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092307692	-0.402997285	1.256486966	 text	0
PRE0005	134	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	135	11	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	136	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	137	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	138	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	139	17	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	140	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	141	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	142	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	143	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	145	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	146	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	147	19	0	0	0	0	0	0	0	0	0	0	3	1	0.333333333	0.052631579	0	0.903607411	-0.727898299	 text	0
PRE0005	148	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	149	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	150	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	151	26	0	0	0	0	0	0	0	0	0	0	4	1	0.25	0.038461538	0	0.551829223	-0.727898299	 text	0
PRE0005	152	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	153	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	154	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	155	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	156	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	157	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	158	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	159	13	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092307692	-0.402997285	1.256486966	 text	0
PRE0005	160	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	161	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	162	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	163	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	164	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	165	12	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0.05	-0.402997285	0.346977053	 text	0
PRE0005	166	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	167	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	168	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	169	17	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	170	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	171	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	172	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	173	38	0	0	1	0.2	1	0.2	0	0	1	0.026315789	5	1	0.2	0.026315789	0.0125	0.250305063	-0.459179461	 text	0
PRE0005	174	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	175	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	176	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	177	41	0	0	1	0.2	0	0	0	0	1	0.024390244	5	1	0.2	0.024390244	0.011585366	0.202502452	-0.478841815	 text	0
PRE0005	178	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	179	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	180	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	181	44	0	0	1	0.25	0	0	0	0	1	0.022727273	4	0	0	0	0.010795455	-0.402997285	-0.495822939	 text	0
PRE0005	182	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	183	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	184	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	185	35	0	0	1	0.2	1	0.2	0	0	1	0.028571429	5	1	0.2	0.028571429	0.013571429	0.306302407	-0.436146418	 text	0
PRE0005	186	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	187	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	188	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	189	40	0	0	1	0.166666667	1	0.166666667	0	0	1	0.025	6	2	0.333333333	0.05	0.011875	0.838277176	-0.472615403	 text	0
PRE0005	190	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	191	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	192	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	193	40	0	0	1	0.2	1	0.2	0	0	1	0.025	5	1	0.2	0.025	0.011875	0.217639945	-0.472615403	 text	0
PRE0005	194	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	195	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	196	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	197	42	0	0	2	0.4	0	0	0	0	1	0.023809524	5	1	0.2	0.023809524	0.01547619	0.188085792	-0.395198786	 text	0
PRE0005	198	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	199	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	200	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	201	39	0	0	2	0.5	0	0	0	0	0	0	4	1	0.25	0.025641026	0.008974359	0.233553721	-0.534971954	 text	0
PRE0005	202	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	203	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	204	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	205	49	0	0	1	0.166666667	0	0	0	0	0	0	6	1	0.166666667	0.020408163	0.003571429	0.103645352	-0.651121489	 text	0
PRE0005	206	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	207	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	208	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	209	46	0	0	2	0.333333333	0	0	0	0	1	0.02173913	6	1	0.166666667	0.02173913	0.014130435	0.136687263	-0.424129178	 text	0
PRE0005	210	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	211	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	212	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	213	31	0	0	0	0	0	0	0	0	0	0	4	1	0.25	0.032258065	0	0.397824948	-0.727898299	 text	0
PRE0005	214	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	215	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	216	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	217	13	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092307692	-0.402997285	1.256486966	 text	0
PRE0005	218	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	219	39	0	0	0	0	0	0	0	0	0	0	5	1	0.2	0.025641026	0	0.233553721	-0.727898299	 text	0
PRE0005	220	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	221	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	222	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	223	24	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	224	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	225	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
